Dependency,Ecosystem,Category,Repos Using,What It Does,Used In
react-day-picker,js,Frameworks & Libraries,9.0,Flexible date picker for React,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
react-hook-form,js,Frameworks & Libraries,9.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
react-resizable-panels,js,Frameworks & Libraries,9.0,Resizable split-pane panels for React,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@html-eslint/eslint-plugin,js,Dev Environment & Tooling,8.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@html-eslint/parser,js,Dev Environment & Tooling,8.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@testing-library/jest-dom,js,Testing & QA,8.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare, soapbox-pub/soapbox"
@testing-library/react,js,Testing & QA,8.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare, soapbox-pub/soapbox"
anyhow,rust,Frameworks & Libraries,8.0,Application-oriented flexible Rust error type,"andotherstuff/funnel, andotherstuff/groups_relay, andotherstuff/nostr-rs-relay, andotherstuff/pensieve, cashubtc/cdk, marmot-protocol/proton-beam, marmot-protocol/transponder, marmot-protocol/wn-tui"
jsdom,js,Testing & QA,8.0,JavaScript DOM implementation for testing,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare, soapbox-pub/soapbox"
tempfile,rust,Testing & QA,8.0,Temporary files/directories for Rust (commonly in tests),"marmot-protocol/mdk, marmot-protocol/nostr-openmls, marmot-protocol/openmls-lmdb-storage, marmot-protocol/openmls-redb-storage, marmot-protocol/openmls-sled-storage, marmot-protocol/proton-beam, marmot-protocol/transponder, marmot-protocol/whitenoise-rs"
@cashu/cashu-ts,js,Bitcoin Lightning Nostr,7.0,,"andotherstuff/cashu-wallet, andotherstuff/chorus, cashubtc/cashu-redeem, cashubtc/cashu.me, cashubtc/eNuts, cashubtc/npubcash-server, cashubtc/npubcash-website"
@fontsource-variable/inter,js,Frameworks & Libraries,7.0,Self-hosted Inter variable font,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@getalby/sdk,js,Bitcoin Lightning Nostr,7.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@types/qrcode,js,Dev Environment & Tooling,7.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@typescript-eslint/eslint-plugin,js,Dev Environment & Tooling,7.0,,"cashubtc/cashu-crypto-ts, cashubtc/cashu-redeem, cashubtc/cashu-ts, cashubtc/cashu.me, cashubtc/eNuts, cashubtc/npubcash-website, soapbox-pub/soapbox"
@unhead/addons,js,Frameworks & Libraries,7.0,Additional functionality for @unhead,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
@unhead/react,js,Frameworks & Libraries,7.0,Head/meta-tag management for React (SEO),"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto, soapbox-pub/shakespeare"
bech32,rust,Security & Privacy,7.0,"Bech32 address encoding for Rust (npub, note, etc.)","andotherstuff/nostr-rs-relay, cashubtc/cashu-redeem, cashubtc/cashu-ui, cashubtc/cashu.me, cashubtc/eNuts, cashubtc/nutshell, marmot-protocol/wn-tui"
@noble/hashes,js,Security & Privacy,6.0,Audited hash functions for JS (Nostr/Cashu crypto),"andotherstuff/cashu-wallet, cashubtc/cashu-crypto-ts, cashubtc/cashu-ts, cashubtc/npubcash-website, marmot-protocol/marmot-ts, marmot-protocol/marmots-web-chat"
@typescript-eslint/parser,js,Dev Environment & Tooling,6.0,,"cashubtc/cashu-redeem, cashubtc/cashu-ts, cashubtc/cashu.me, cashubtc/eNuts, cashubtc/npubcash-website, soapbox-pub/soapbox"
chrono,rust,Frameworks & Libraries,6.0,Date/time library for Rust,"andotherstuff/funnel, andotherstuff/nostr-rs-relay, andotherstuff/pensieve, marmot-protocol/proton-beam, marmot-protocol/whitenoise-rs, marmot-protocol/wn-tui"
clap,rust,Frameworks & Libraries,6.0,Command-line argument parser for Rust,"andotherstuff/groups_relay, andotherstuff/nostr-rs-relay, cashubtc/cdk, marmot-protocol/proton-beam, marmot-protocol/transponder, marmot-protocol/whitenoise-rs"
dotenv,js,Dev Environment & Tooling,6.0,Environment-variable loader,"andotherstuff/nostr-compass-podcast, cashubtc/docs.cashu.space, cashubtc/eNuts, cashubtc/npubcash-server, cashubtc/orchard, marmot-protocol/whitenoise-podcast"
nostr-sdk,rust,Bitcoin Lightning Nostr,6.0,Rust Nostr SDK (rust-nostr),"andotherstuff/groups_relay, andotherstuff/pensieve, cashubtc/cdk, marmot-protocol/proton-beam, marmot-protocol/transponder, marmot-protocol/whitenoise-rs"
rand,rust,Frameworks & Libraries,6.0,,"andotherstuff/binostr, andotherstuff/groups_relay, andotherstuff/nostr-rs-relay, cashubtc/cdk, marmot-protocol/nostr-openmls, marmot-protocol/whitenoise-rs"
@webbtc/webln-types,js,Bitcoin Lightning Nostr,5.0,TypeScript types for WebLN,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, cashubtc/cashu-redeem, soapbox-pub/ditto, soapbox-pub/soapbox"
buffer,js,Frameworks & Libraries,5.0,Node Buffer polyfill for browsers,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, cashubtc/cashu-crypto-ts, soapbox-pub/ditto, soapbox-pub/shakespeare"
eslint-plugin-import,js,Dev Environment & Tooling,5.0,,"cashubtc/cashu-crypto-ts, cashubtc/cashu-redeem, cashubtc/cashu-ts, cashubtc/eNuts, soapbox-pub/soapbox"
futures,rust,Hosting Infra & Deploy,5.0,,"andotherstuff/groups_relay, andotherstuff/nostr-rs-relay, cashubtc/cdk, marmot-protocol/whitenoise-rs, marmot-protocol/wn-tui"
idb,js,Databases & Storage,5.0,,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/universes-legacy, marmot-protocol/marmots-web-chat, soapbox-pub/ditto"
nostr,rust,Bitcoin Lightning Nostr,5.0,Rust Nostr protocol library (rust-nostr core),"andotherstuff/funnel, andotherstuff/groups_relay, andotherstuff/nostr-rs-relay, andotherstuff/pensieve, marmot-protocol/mdk"
openmls_traits,rust,Security & Privacy,5.0,,"marmot-protocol/mdk, marmot-protocol/nostr-openmls, marmot-protocol/openmls-lmdb-storage, marmot-protocol/openmls-redb-storage, marmot-protocol/openmls-sled-storage"
prost,rust,Frameworks & Libraries,5.0,Protocol Buffers for Rust,"andotherstuff/binostr, andotherstuff/nostr-rs-relay, andotherstuff/pensieve, cashubtc/cdk, marmot-protocol/proton-beam"
react-intersection-observer,js,Frameworks & Libraries,5.0,Intersection Observer hook for React,"andotherstuff/ai-sovereignty, andotherstuff/aos-convergence, andotherstuff/nostr-compass-podcast, marmot-protocol/whitenoise-podcast, soapbox-pub/ditto"
ts-node,js,Dev Environment & Tooling,5.0,,"cashubtc/cashu-crypto-ts, cashubtc/cashu-redeem, cashubtc/cashu-ts, cashubtc/eNuts, cashubtc/orchard"
@tailwindcss/vite,js,Frameworks & Libraries,4.0,,"andotherstuff/nostr-stats, marmot-protocol/marmots-web-chat, marmot-protocol/nostr-doctor, marmot-protocol/whitenoise-web"
@vitejs/plugin-react,js,Dev Environment & Tooling,4.0,,"cashubtc/npubcash-website, marmot-protocol/marmots-web-chat, marmot-protocol/nostr-doctor, soapbox-pub/ditto"
applesauce-common,js,Bitcoin Lightning Nostr,4.0,,"marmot-protocol/marmot-ts, marmot-protocol/marmots-web-chat, marmot-protocol/nostr-doctor, marmot-protocol/whitenoise-web"
applesauce-core,js,Bitcoin Lightning Nostr,4.0,,"marmot-protocol/marmot-ts, marmot-protocol/marmots-web-chat, marmot-protocol/nostr-doctor, marmot-protocol/whitenoise-web"
async-trait,rust,Hosting Infra & Deploy,4.0,Async methods in Rust traits,"andotherstuff/groups_relay, andotherstuff/nostr-rs-relay, cashubtc/cdk, marmot-protocol/whitenoise-rs"
axum,rust,Hosting Infra & Deploy,4.0,,"andotherstuff/funnel, andotherstuff/pensieve, cashubtc/cdk, marmot-protocol/transponder"
cashu,py,Bitcoin Lightning Nostr,4.0,,"cashubtc/cashu-ui, cashubtc/cdk, cashubtc/xcashu"
eslint-config-prettier,js,Dev Environment & Tooling,4.0,,"cashubtc/cashu-redeem, cashubtc/cashu-ts, cashubtc/cashu.me, cashubtc/orchard"
eslint-plugin-promise,js,Dev Environment & Tooling,4.0,,"cashubtc/cashu-crypto-ts, cashubtc/cashu-ts, cashubtc/eNuts, soapbox-pub/soapbox"
log,rust,Monitoring & Observability,4.0,,"andotherstuff/nostr-rs-relay, marmot-protocol/openmls-lmdb-storage, marmot-protocol/openmls-redb-storage, marmot-protocol/openmls-sled-storage"
next-themes,js,Frameworks & Libraries,4.0,Dark-mode/theme switcher for React,"andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, marmot-protocol/whitenoise-podcast"
prometheus,elixir,Monitoring & Observability,4.0,,"andotherstuff/nostr-rs-relay, cashubtc/cdk, marmot-protocol/transponder, soapbox-pub/rebased"
react-qr-code,js,Frameworks & Libraries,4.0,QR code rendering for React,"andotherstuff/cashu-wallet, andotherstuff/chorus, cashubtc/npubcash-website, cashubtc/nut-november"
rusqlite,rust,Databases & Storage,4.0,,"andotherstuff/nostr-rs-relay, andotherstuff/pensieve, marmot-protocol/mdk, marmot-protocol/proton-beam"
rxjs,js,Frameworks & Libraries,4.0,,"cashubtc/orchard, marmot-protocol/marmots-web-chat, marmot-protocol/nostr-doctor, marmot-protocol/whitenoise-web"
secp256k1,rust,Security & Privacy,4.0,,"andotherstuff/nostr-rs-relay, cashubtc/cashu-ui, cashubtc/nutshell, marmot-protocol/transponder"
sonner,js,Frameworks & Libraries,4.0,Toast notifications for React,"andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-compass-podcast, marmot-protocol/whitenoise-podcast"
tsx,js,Dev Environment & Tooling,4.0,,"andotherstuff/nostr-compass-podcast, cashubtc/cashu-redeem, cashubtc/cashu-ts, marmot-protocol/whitenoise-podcast"
uuid,rust,Frameworks & Libraries,4.0,UUID generation and parsing for Rust,"andotherstuff/cashu-wallet, andotherstuff/chorus, andotherstuff/nostr-rs-relay, cashubtc/cdk"
webln,js,Bitcoin Lightning Nostr,4.0,Browser Lightning wallet interface,"andotherstuff/nostr-compass-podcast, andotherstuff/universes-legacy, marmot-protocol/whitenoise-podcast, soapbox-pub/shakespeare"
ws,js,Hosting Infra & Deploy,4.0,,"andotherstuff/nostr-compass-podcast, cashubtc/cashu-ts, cashubtc/npubcash-server, marmot-protocol/whitenoise-web"
zustand,js,Frameworks & Libraries,4.0,,"andotherstuff/cashu-wallet, andotherstuff/chorus, cashubtc/docs.cashu.space, soapbox-pub/soapbox"
@capacitor/android,js,Misc & Everything Else,3.0,,"cashubtc/cashu.me, soapbox-pub/ditto, soapbox-pub/shakespeare"
@capacitor/cli,js,Misc & Everything Else,3.0,,"cashubtc/cashu.me, soapbox-pub/ditto, soapbox-pub/shakespeare"
@capacitor/core,js,Misc & Everything Else,3.0,,"cashubtc/cashu.me, soapbox-pub/ditto, soapbox-pub/shakespeare"
@changesets/cli,js,Dev Environment & Tooling,3.0,,"cashubtc/coco, marmot-protocol/marmot-ts, soapbox-pub/nostrify"
@dnd-kit/core,js,Frameworks & Libraries,3.0,,"andotherstuff/universes-legacy, soapbox-pub/ditto, soapbox-pub/shakespeare"
@dnd-kit/sortable,js,Frameworks & Libraries,3.0,,"andotherstuff/universes-legacy, soapbox-pub/ditto, soapbox-pub/shakespeare"
@dnd-kit/utilities,js,Frameworks & Libraries,3.0,,"andotherstuff/universes-legacy, soapbox-pub/ditto, soapbox-pub/shakespeare"
@fontsource-variable/outfit,js,Frameworks & Libraries,3.0,,"andotherstuff/ai-sovereignty, andotherstuff/universes-legacy, soapbox-pub/ditto"
@noble/curves,js,Security & Privacy,3.0,Audited elliptic-curve crypto for JS,"cashubtc/cashu-crypto-ts, cashubtc/cashu-ts, marmot-protocol/marmot-ts"
@sentry/react,js,Monitoring & Observability,3.0,,"soapbox-pub/ditto, soapbox-pub/shakespeare, soapbox-pub/soapbox"
@testing-library/user-event,js,Testing & QA,3.0,,"andotherstuff/universes-legacy, soapbox-pub/shakespeare, soapbox-pub/soapbox"
@types/bun,js,Dev Environment & Tooling,3.0,,"andotherstuff/keycast, cashubtc/coco, marmot-protocol/nostr-doctor"
@types/jest,js,Dev Environment & Tooling,3.0,,"cashubtc/cashu-crypto-ts, cashubtc/eNuts, cashubtc/orchard"
@types/ws,js,Dev Environment & Tooling,3.0,,"andotherstuff/nostr-compass-podcast, cashubtc/cashu-ts, marmot-protocol/whitenoise-web"
applesauce-accounts,js,Misc & Everything Else,3.0,,"marmot-protocol/marmot-ts, marmot-protocol/marmots-web-chat, marmot-protocol/nostr-doctor"
applesauce-loaders,js,Bitcoin Lightning Nostr,3.0,,"marmot-protocol/marmots-web-chat, marmot-protocol/nostr-doctor, marmot-protocol/whitenoise-web"
applesauce-relay,js,Bitcoin Lightning Nostr,3.0,,"marmot-protocol/marmots-web-chat, marmot-protocol/nostr-doctor, marmot-protocol/whitenoise-web"
blurhash,js,Misc & Everything Else,3.0,,"marmot-protocol/mdk, soapbox-pub/ditto, soapbox-pub/soapbox"
config,rust,Dev Environment & Tooling,3.0,,"andotherstuff/nostr-rs-relay, cashubtc/cdk, marmot-protocol/transponder"
eslint-config-next,js,Dev Environment & Tooling,3.0,,"cashubtc/cashu-redeem, cashubtc/docs.cashu.space, cashubtc/nut-november"
eslint-plugin-n,js,Dev Environment & Tooling,3.0,,"cashubtc/cashu-crypto-ts, cashubtc/cashu-ts, soapbox-pub/soapbox"
express,js,Hosting Infra & Deploy,3.0,,"andotherstuff/chorus, cashubtc/docs.cashu.space, cashubtc/npubcash-server"
framer-motion,js,Frameworks & Libraries,3.0,,"cashubtc/cashu-redeem, cashubtc/docs.cashu.space, cashubtc/npubcash-website"
husky,js,Dev Environment & Tooling,3.0,,"cashubtc/cashu-ts, marmot-protocol/marmot-ts, soapbox-pub/soapbox"
image,rust,Misc & Everything Else,3.0,,"marmot-protocol/mdk, marmot-protocol/whitenoise-rs, marmot-protocol/wn-tui"
indicatif,rust,Frameworks & Libraries,3.0,,"andotherstuff/nostr-rs-relay, marmot-protocol/proton-beam, marmot-protocol/whitenoise-rs"
jest,js,Testing & QA,3.0,,"cashubtc/cashu-crypto-ts, cashubtc/eNuts, cashubtc/orchard"
jsonwebtoken,rust,Security & Privacy,3.0,,"cashubtc/cdk, cashubtc/npubcash-server, marmot-protocol/transponder"
light-bolt11-decoder,js,Misc & Everything Else,3.0,,"cashubtc/cashu.me, cashubtc/npubcash-server, cashubtc/npubcash-website"
marked,js,Frameworks & Libraries,3.0,,"andotherstuff/chorus, cashubtc/orchard, marmot-protocol/whitenoise-web"
metrics,rust,Monitoring & Observability,3.0,,"andotherstuff/funnel, andotherstuff/groups_relay, andotherstuff/pensieve"
metrics-exporter-prometheus,rust,Monitoring & Observability,3.0,,"andotherstuff/funnel, andotherstuff/groups_relay, andotherstuff/pensieve"
next,js,Hosting Infra & Deploy,3.0,,"cashubtc/cashu-redeem, cashubtc/docs.cashu.space, cashubtc/nut-november"
node-fetch,js,Misc & Everything Else,3.0,,"cashubtc/cashu-ts, cashubtc/docs.cashu.space, cashubtc/orchard"
openmls,rust,Security & Privacy,3.0,,"marmot-protocol/mdk, marmot-protocol/nostr-openmls, marmot-protocol/propose"
openmls_basic_credential,rust,Security & Privacy,3.0,,"marmot-protocol/mdk, marmot-protocol/nostr-openmls, marmot-protocol/propose"
openmls_rust_crypto,rust,Security & Privacy,3.0,,"marmot-protocol/mdk, marmot-protocol/nostr-openmls, marmot-protocol/propose"
python,py,Misc & Everything Else,3.0,,"cashubtc/cashu-ui, cashubtc/nutshell, cashubtc/xcashu"
react-error-boundary,js,Misc & Everything Else,3.0,,"marmot-protocol/marmots-web-chat, soapbox-pub/shakespeare, soapbox-pub/soapbox"
react-markdown,js,Frameworks & Libraries,3.0,,"andotherstuff/universes-legacy, soapbox-pub/ditto, soapbox-pub/shakespeare"
regex,rust,Frameworks & Libraries,3.0,Regular expression engine for Rust,"andotherstuff/nostr-rs-relay, cashubtc/cdk, marmot-protocol/proton-beam"
remark-gfm,js,Frameworks & Libraries,3.0,,"andotherstuff/universes-legacy, cashubtc/docs.cashu.space, soapbox-pub/shakespeare"
reqwest,rust,Hosting Infra & Deploy,3.0,HTTP client for Rust,"cashubtc/cdk, marmot-protocol/transponder, marmot-protocol/whitenoise-rs"
sha2,rust,Frameworks & Libraries,3.0,,"marmot-protocol/mdk, marmot-protocol/transponder, marmot-protocol/whitenoise-rs"
tokio-tungstenite,rust,Hosting Infra & Deploy,3.0,,"andotherstuff/groups_relay, andotherstuff/nostr-rs-relay, cashubtc/cdk"
toml,rust,Frameworks & Libraries,3.0,,"andotherstuff/binostr, marmot-protocol/proton-beam, marmot-protocol/transponder"
tower,rust,Hosting Infra & Deploy,3.0,,"andotherstuff/funnel, andotherstuff/pensieve, cashubtc/cdk"
tower-http,rust,Hosting Infra & Deploy,3.0,,"andotherstuff/funnel, andotherstuff/pensieve, cashubtc/cdk"
tracing-appender,rust,Monitoring & Observability,3.0,,"andotherstuff/nostr-rs-relay, cashubtc/cdk, marmot-protocol/whitenoise-rs"
ts-jest,js,Testing & QA,3.0,,"cashubtc/cashu-crypto-ts, cashubtc/eNuts, cashubtc/orchard"
vite-plugin-pwa,js,Misc & Everything Else,3.0,,"marmot-protocol/marmots-web-chat, soapbox-pub/shakespeare, soapbox-pub/soapbox"
@biomejs/biome,js,Dev Environment & Tooling,2.0,,"andotherstuff/nostr-stats, marmot-protocol/whitenoise-web"
@capacitor/app,js,Misc & Everything Else,2.0,,"soapbox-pub/ditto, soapbox-pub/shakespeare"
@capacitor/haptics,js,Misc & Everything Else,2.0,,"cashubtc/cashu.me, soapbox-pub/ditto"
@capacitor/ios,js,Misc & Everything Else,2.0,,"cashubtc/cashu.me, soapbox-pub/ditto"
@cashu/crypto,js,Bitcoin Lightning Nostr,2.0,,"andotherstuff/cashu-wallet, andotherstuff/chorus"
@emoji-mart/data,js,Misc & Everything Else,2.0,,"soapbox-pub/ditto, soapbox-pub/soapbox"
@eslint/eslintrc,js,Dev Environment & Tooling,2.0,,"cashubtc/cashu-redeem, cashubtc/eNuts"
@flydotio/dockerfile,js,Misc & Everything Else,2.0,,"cashubtc/docs.cashu.space, cashubtc/nut-november"
@fontsource-variable/jetbrains-mono,js,Frameworks & Libraries,2.0,,"marmot-protocol/marmots-web-chat, soapbox-pub/ditto"
@fontsource-variable/montserrat,js,Frameworks & Libraries,2.0,,"andotherstuff/ai-sovereignty, soapbox-pub/ditto"
@gandlaf21/bc-ur,js,Misc & Everything Else,2.0,,"cashubtc/cashu.me, cashubtc/npubcash-website"
@libs/qrcode,js,Misc & Everything Else,2.0,,"marmot-protocol/marmots-web-chat, marmot-protocol/nostr-doctor"
@plausible-analytics/tracker,js,Misc & Everything Else,2.0,,"soapbox-pub/ditto, soapbox-pub/shakespeare"
@scure/base,js,Security & Privacy,2.0,"Audited base-N encoders (bech32, base58, etc.)","cashubtc/cashu-ts, marmot-protocol/marmot-ts"
@scure/bip32,js,Security & Privacy,2.0,,"cashubtc/cashu-crypto-ts, cashubtc/cashu-ts"
@sveltejs/adapter-auto,js,Hosting Infra & Deploy,2.0,,"andotherstuff/nostr-stats, marmot-protocol/whitenoise-web"
@sveltejs/adapter-vercel,js,Hosting Infra & Deploy,2.0,,"andotherstuff/nostr-stats, marmot-protocol/whitenoise-web"
@sveltejs/kit,js,Hosting Infra & Deploy,2.0,,"andotherstuff/nostr-stats, marmot-protocol/whitenoise-web"
@sveltejs/vite-plugin-svelte,js,Frameworks & Libraries,2.0,,"andotherstuff/nostr-stats, marmot-protocol/whitenoise-web"
@types/compression,js,Dev Environment & Tooling,2.0,,"cashubtc/npubcash-server, cashubtc/orchard"
@types/express,js,Dev Environment & Tooling,2.0,,"cashubtc/npubcash-server, cashubtc/orchard"
@types/node-fetch,js,Dev Environment & Tooling,2.0,,"cashubtc/cashu-ts, cashubtc/orchard"
@types/path-browserify,js,Dev Environment & Tooling,2.0,,"soapbox-pub/shakespeare, soapbox-pub/soapbox"
@types/supertest,js,Dev Environment & Tooling,2.0,,"cashubtc/npubcash-server, cashubtc/orchard"
@types/uuid,js,Dev Environment & Tooling,2.0,,"andotherstuff/cashu-wallet, cashubtc/cashu.me"
@vitest/coverage-v8,js,Testing & QA,2.0,,"cashubtc/cashu-ts, cashubtc/npubcash-server"
anyio,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
applesauce-react,js,Misc & Everything Else,2.0,,"marmot-protocol/marmots-web-chat, marmot-protocol/nostr-doctor"
applesauce-signers,js,Bitcoin Lightning Nostr,2.0,,"marmot-protocol/marmots-web-chat, marmot-protocol/nostr-doctor"
asyncio,py,Misc & Everything Else,2.0,,cashubtc/cashu-ui
base64,rust,Frameworks & Libraries,2.0,,"marmot-protocol/mdk, marmot-protocol/transponder"
bcrypt,ruby,Security & Privacy,2.0,,"cashubtc/orchard, marmot-protocol/botburrow"
bitstring,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
blossom-client-sdk,js,Misc & Everything Else,2.0,,"marmot-protocol/marmots-web-chat, marmot-protocol/nostr-doctor"
build_runner,dart,Misc & Everything Else,2.0,,"cashubtc/cdk-flutter, marmot-protocol/whitenoise"
certifi,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
cffi,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
chacha20poly1305,rust,Misc & Everything Else,2.0,,"marmot-protocol/mdk, marmot-protocol/transponder"
chart.js,js,Frameworks & Libraries,2.0,,"andotherstuff/nostr-stats, cashubtc/orchard"
ciborium,rust,Misc & Everything Else,2.0,,"andotherstuff/binostr, cashubtc/cdk"
click,py,Frameworks & Libraries,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
clickhouse,rust,Frameworks & Libraries,2.0,,"andotherstuff/funnel, andotherstuff/pensieve"
colorama,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
compression,js,Misc & Everything Else,2.0,,"cashubtc/npubcash-server, cashubtc/orchard"
concurrently,js,Misc & Everything Else,2.0,,"andotherstuff/keycast, soapbox-pub/soapbox"
cors,js,Misc & Everything Else,2.0,,"cashubtc/docs.cashu.space, cashubtc/npubcash-server"
criterion,rust,Testing & QA,2.0,,"andotherstuff/binostr, cashubtc/cdk"
debug,js,Monitoring & Observability,2.0,,"marmot-protocol/botburrow, marmot-protocol/marmot-ts"
dirs,rust,Misc & Everything Else,2.0,,"marmot-protocol/whitenoise-rs, marmot-protocol/wn-tui"
ecdsa,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
emoji-mart,js,Misc & Everything Else,2.0,,"soapbox-pub/ditto, soapbox-pub/soapbox"
emoji-picker-react,js,Misc & Everything Else,2.0,,"andotherstuff/chorus, andotherstuff/universes-legacy"
environs,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
esbuild,js,Dev Environment & Tooling,2.0,,"cashubtc/npubcash-server, soapbox-pub/nostrify"
eslint-import-resolver-typescript,js,Dev Environment & Tooling,2.0,,"cashubtc/cashu-ts, soapbox-pub/soapbox"
eslint-plugin-jest,js,Dev Environment & Tooling,2.0,,"cashubtc/cashu-redeem, cashubtc/eNuts"
eslint-plugin-jsdoc,js,Dev Environment & Tooling,2.0,,"cashubtc/eNuts, soapbox-pub/soapbox"
eslint-plugin-prettier,js,Dev Environment & Tooling,2.0,,"cashubtc/cashu-redeem, cashubtc/orchard"
eslint-plugin-react,js,Dev Environment & Tooling,2.0,,"cashubtc/eNuts, soapbox-pub/soapbox"
fastapi,py,Hosting Infra & Deploy,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
flate2,rust,Misc & Everything Else,2.0,,"andotherstuff/binostr, marmot-protocol/proton-beam"
flutter,dart,Frameworks & Libraries,2.0,,"cashubtc/cdk-flutter, marmot-protocol/whitenoise"
flutter_lints,dart,Frameworks & Libraries,2.0,,"cashubtc/cdk-flutter, marmot-protocol/whitenoise"
flutter_rust_bridge,dart,Frameworks & Libraries,2.0,,"cashubtc/cdk-flutter, marmot-protocol/whitenoise"
flutter_test,dart,Frameworks & Libraries,2.0,,"cashubtc/cdk-flutter, marmot-protocol/whitenoise"
freezed,dart,Misc & Everything Else,2.0,,"cashubtc/cdk-flutter, marmot-protocol/whitenoise"
freezed_annotation,dart,Misc & Everything Else,2.0,,"cashubtc/cdk-flutter, marmot-protocol/whitenoise"
futures-util,rust,Hosting Infra & Deploy,2.0,,"andotherstuff/groups_relay, andotherstuff/nostr-rs-relay"
getrandom,rust,Misc & Everything Else,2.0,,"marmot-protocol/mdk, marmot-protocol/transponder"
graphql,js,Frameworks & Libraries,2.0,,"cashubtc/npubcash-server, cashubtc/orchard"
h11,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
hkdf,rust,Misc & Everything Else,2.0,,"marmot-protocol/mdk, marmot-protocol/transponder"
i18next,js,Misc & Everything Else,2.0,,"cashubtc/eNuts, soapbox-pub/shakespeare"
idna,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
importlib-metadata,py,Misc & Everything Else,2.0,,"cashubtc/cashu-ui, cashubtc/nutshell"
